12.3139377537  4.05442728073    8.0
28.1461434371  18.566176166     8.0
43.9783491204  23.6836884358    8.2
59.8105548038  9.31457396292    8.2
77.401894452  17.8279464773     8.2
93.2341001353  6.20799762141    8.1
109.066305819  23.6836884358    7.0
124.898511502  135.568437409    7.0
138.971583221  584.143870292    7.0
154.803788904  1933.49748872    6.5
172.395128552  4916.20468058    8.0
188.227334235  8676.12881107    8.0
212.855209743  11525.8777477    16.0
237.48308525  8331.14792678     8.0
253.315290934  4720.72618148    7.5
267.388362652  2568.5713255     8.5
283.220568336  1369.50580245    7.5
299.052774019  745.155130597    8.0
314.884979702  358.976549921    7.5
330.717185386  117.620922568    8.0
348.308525034  32.7656284495    8.0
364.140730717  70.8304929507    8.0
381.732070365  169.462999775    8.0
395.805142084  381.502859379    8.0
411.637347767  673.277083607    8.0
425.710419486  970.02771086     6.5
450.338294993  1188.20087495   16.0
476.725304465  950.546940392    8.0
490.798376184  620.799762141    8.0
506.630581867  405.442728073    8.0 
524.221921516  216.173155537    6.5
540.054127199  106.275147907    8.0
554.127198917  48.1747404239    8.0
568.200270636  29.6050390841    6.5
587.550744249  19.3349748872    6.5
601.623815968  20.9693951215    8.0
617.456021651  55.5256168655    8.0
636.806495264  57.8248530062    6.5
652.638700947  88.5393978151    8.0
666.711772666  112.944070626    8.0
691.339648173  130.177955036   16.0
714.208389716  112.944070626    8.0  
730.040595399  88.5393978151    8.0
745.872801083  50.1695873163    6.5
759.945872801  34.12240612      8.0
777.537212449  32.1076063333    8.0
802.165087957  7.30190407528   16.0
826.792963464  4.13751982869    8.0
842.625169147  6.20799762141    8.0
858.457374831  4.05442728073    6.5
872.530446549  16.4383805747    6.5
888.362652233  17.8279464773    8.0
905.953991881  14.5544431714    8.0
921.786197564  18.566176166     8.0
939.377537212  17.8279464773    8.0
955.209742896  14.5544431714    8.0
971.041948579  11.4095554268    8.0
985.115020298  10.5202589952    8.0
999.188092016  9.50546940392    6.5
1016.77943166  2.93062569059    8.0
1032.61163735  0.501695873163   8.0
1048.44384303  1.99323943746    8.0
1066.03518268  1                8.0
1081.86738836  1.99323943746    8.0
1106.49526387  0.501695873163  12.0 
1129.36400541  4.13751982869   12.0
1143.43707713  1.99323943746   12.0
1169.8240866  2.93062569059    12.0
1196.21109608  0.501695873163  12.0
1213.80243572  1.99323943746    8.0
1229.63464141  2.93062569059   12.0 
1243.70771313  0.979917305197   7.0
1259.53991881  0.501695873163   8.0
1277.13125846  1                8.0
1292.96346414  0.491620468058   8.0
